batch_size,epoch,rank, time
128, 0, 0, 67.997
128, 0, 1, 68.074
128, 0, 2, 68.081
128, 0, 3, 68.249
128, 1, 0, 69.028
128, 1, 1, 69.088
128, 1, 2, 69.121
128, 1, 3, 69.668
128, 2, 0, 68.35
128, 2, 1, 68.391
128, 2, 2, 68.432
128, 2, 3, 69.019
