batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
64, 0, 0, 0, 1591152898.605, 1591152901.481, 1591152904.022, 1591152904.022, 1591152904.059, 1591152904.594, 1591152906.211, 1591152906.211, 1591152906.214, 1591152906.216
64, 0, 0, 1, 1591152904.023, 1591152904.031, 1591152904.039, 1591152904.039, 1591152906.283, 1591152906.283, 1591152906.468, 1591152906.468, 1591152906.47, 1591152906.472
64, 0, 0, 2, 1591152906.216, 1591152906.217, 1591152906.271, 1591152906.271, 1591152906.513, 1591152906.513, 1591152906.735, 1591152906.735, 1591152906.736, 1591152906.738
64, 0, 0, 3, 1591152906.472, 1591152906.473, 1591152906.476, 1591152906.476, 1591152906.857, 1591152906.857, 1591152907.104, 1591152907.104, 1591152907.105, 1591152907.107
64, 0, 0, 4, 1591152906.738, 1591152906.738, 1591152906.741, 1591152906.744, 1591152907.151, 1591152907.151, 1591152907.409, 1591152907.409, 1591152907.41, 1591152907.411
64, 0, 0, 5, 1591152907.107, 1591152907.107, 1591152907.11, 1591152907.114, 1591152907.446, 1591152907.446, 1591152907.651, 1591152907.651, 1591152907.653, 1591152907.654
64, 0, 0, 6, 1591152907.411, 1591152907.412, 1591152907.414, 1591152907.414, 1591152907.659, 1591152907.685, 1591152907.927, 1591152907.927, 1591152907.928, 1591152907.93
64, 0, 0, 7, 1591152907.654, 1591152907.655, 1591152907.658, 1591152907.658, 1591152907.961, 1591152907.979, 1591152908.23, 1591152908.23, 1591152908.231, 1591152908.233
64, 0, 0, 8, 1591152907.93, 1591152907.93, 1591152907.933, 1591152907.934, 1591152908.265, 1591152908.265, 1591152908.531, 1591152908.531, 1591152908.532, 1591152908.534
64, 0, 0, 9, 1591152908.233, 1591152908.235, 1591152908.238, 1591152908.238, 1591152908.569, 1591152908.569, 1591152908.844, 1591152908.844, 1591152908.845, 1591152908.847
64, 0, 0, 10, 1591152908.534, 1591152908.539, 1591152908.542, 1591152908.542, 1591152908.883, 1591152908.883, 1591152909.187, 1591152909.187, 1591152909.188, 1591152909.19
64, 0, 0, 11, 1591152908.847, 1591152908.848, 1591152908.851, 1591152908.851, 1591152909.291, 1591152909.291, 1591152909.415, 1591152909.415, 1591152909.416, 1591152909.419
