batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
256, 0, 0, 0, 1591153445.85, 1591153452.019, 1591153455.711, 1591153455.735, 1591153455.864, 1591153456.274, 1591153460.936, 1591153460.936, 1591153460.939, 1591153460.943
256, 0, 0, 1, 1591153455.736, 1591153455.738, 1591153455.768, 1591153455.768, 1591153461.076, 1591153461.076, 1591153461.354, 1591153461.354, 1591153461.356, 1591153461.367
256, 0, 0, 2, 1591153460.943, 1591153460.944, 1591153460.978, 1591153460.978, 1591153461.374, 1591153461.374, 1591153461.788, 1591153461.788, 1591153461.789, 1591153461.791
256, 0, 0, 3, 1591153461.367, 1591153461.369, 1591153461.373, 1591153461.373, 1591153461.969, 1591153461.969, 1591153462.192, 1591153462.192, 1591153462.194, 1591153462.196
256, 0, 0, 4, 1591153461.791, 1591153461.792, 1591153461.797, 1591153461.798, 1591153462.431, 1591153462.431, 1591153462.626, 1591153462.626, 1591153462.627, 1591153462.629
256, 0, 0, 5, 1591153462.196, 1591153462.252, 1591153462.258, 1591153462.258, 1591153462.768, 1591153462.768, 1591153463.062, 1591153463.062, 1591153463.063, 1591153463.066
256, 0, 0, 6, 1591153462.629, 1591153462.63, 1591153462.635, 1591153462.635, 1591153463.201, 1591153463.201, 1591153463.486, 1591153463.486, 1591153463.487, 1591153463.49
256, 0, 0, 7, 1591153463.066, 1591153463.066, 1591153463.073, 1591153463.073, 1591153463.628, 1591153463.628, 1591153463.841, 1591153463.841, 1591153463.842, 1591153463.844
256, 0, 0, 8, 1591153463.49, 1591153463.491, 1591153463.497, 1591153463.497, 1591153463.992, 1591153463.992, 1591153464.262, 1591153464.262, 1591153464.264, 1591153464.266
256, 0, 0, 9, 1591153463.844, 1591153463.844, 1591153463.847, 1591153463.847, 1591153464.448, 1591153464.448, 1591153464.676, 1591153464.676, 1591153464.677, 1591153464.68
256, 0, 0, 10, 1591153464.266, 1591153464.267, 1591153464.273, 1591153464.273, 1591153464.811, 1591153464.811, 1591153465.096, 1591153465.096, 1591153465.097, 1591153465.1
256, 0, 0, 11, 1591153464.68, 1591153464.681, 1591153464.687, 1591153464.688, 1591153465.235, 1591153465.235, 1591153465.468, 1591153465.468, 1591153465.469, 1591153465.471
