batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 0, 0, 1591153607.243, 1591153619.264, 1591153624.159, 1591153624.159, 1591153624.455, 1591153625.089, 1591153633.108, 1591153633.108, 1591153633.11, 1591153633.113
512, 0, 0, 1, 1591153624.159, 1591153624.255, 1591153624.278, 1591153624.306, 1591153633.36, 1591153633.36, 1591153633.84, 1591153633.84, 1591153633.841, 1591153633.843
512, 0, 0, 2, 1591153633.113, 1591153633.114, 1591153633.171, 1591153633.171, 1591153634.107, 1591153634.107, 1591153634.534, 1591153634.534, 1591153634.535, 1591153634.537
512, 0, 0, 3, 1591153633.843, 1591153633.843, 1591153633.848, 1591153633.86, 1591153634.8, 1591153634.8, 1591153635.22, 1591153635.22, 1591153635.221, 1591153635.223
512, 0, 0, 4, 1591153634.537, 1591153634.537, 1591153634.543, 1591153634.543, 1591153635.488, 1591153635.488, 1591153635.934, 1591153635.934, 1591153635.935, 1591153635.937
512, 0, 0, 5, 1591153635.223, 1591153635.223, 1591153635.228, 1591153635.228, 1591153636.207, 1591153636.207, 1591153636.62, 1591153636.62, 1591153636.621, 1591153636.623
512, 0, 0, 6, 1591153635.937, 1591153635.943, 1591153635.95, 1591153635.95, 1591153636.889, 1591153636.89, 1591153637.321, 1591153637.321, 1591153637.322, 1591153637.324
512, 0, 0, 7, 1591153636.623, 1591153636.624, 1591153636.629, 1591153636.629, 1591153637.331, 1591153637.331, 1591153638.021, 1591153638.021, 1591153638.022, 1591153638.024
512, 0, 0, 8, 1591153637.324, 1591153637.324, 1591153637.33, 1591153637.33, 1591153638.294, 1591153638.294, 1591153638.723, 1591153638.723, 1591153638.724, 1591153638.726
512, 0, 0, 9, 1591153638.024, 1591153638.024, 1591153638.03, 1591153638.03, 1591153638.977, 1591153638.977, 1591153639.421, 1591153639.421, 1591153639.421, 1591153639.424
512, 0, 0, 10, 1591153638.726, 1591153638.726, 1591153638.732, 1591153638.732, 1591153639.692, 1591153639.692, 1591153640.134, 1591153640.134, 1591153640.135, 1591153640.138
512, 0, 0, 11, 1591153639.424, 1591153639.424, 1591153639.428, 1591153639.429, 1591153640.407, 1591153640.407, 1591153640.85, 1591153640.85, 1591153640.851, 1591153640.853
512, 0, 0, 12, 1591153640.138, 1591153640.138, 1591153640.144, 1591153640.144, 1591153641.107, 1591153641.107, 1591153641.53, 1591153641.53, 1591153641.532, 1591153641.534
