epoch,rank, batch,next,cuda
0, 0, 0, 5.928916931152344, 0.2394726276397705
0, 0, 1, 0.0008251667022705078, 0.0013844966888427734
0, 0, 2, 0.0007393360137939453, 0.00015163421630859375
0, 0, 3, 0.0004787445068359375, 0.0011479854583740234
0, 0, 4, 0.00054931640625, 0.00010752677917480469
0, 0, 5, 0.000762939453125, 0.05497169494628906
0, 0, 6, 0.0003879070281982422, 0.0002961158752441406
0, 0, 7, 0.00037789344787597656, 0.00011706352233886719
0, 0, 8, 0.0005316734313964844, 0.0007421970367431641
0, 0, 9, 0.00028014183044433594, 0.0003123283386230469
0, 0, 10, 0.0005357265472412109, 0.0003046989440917969
0, 0, 11, 0.0005900859832763672, 0.0003311634063720703
0, 0, 12, 0.0003991127014160156, 0.00028014183044433594
0, 0, 13, 0.0005936622619628906, 0.0007407665252685547
0, 0, 14, 0.0003597736358642578, 0.00011372566223144531
0, 0, 15, 0.0004379749298095703, 0.004694461822509766
0, 0, 16, 0.0003521442413330078, 0.0001087188720703125
0, 0, 17, 0.00038623809814453125, 0.00010991096496582031
0, 0, 18, 0.0003368854522705078, 0.0003323554992675781
0, 0, 19, 0.0005526542663574219, 0.0005166530609130859
0, 0, 20, 2.33327054977417, 0.0003159046173095703
0, 0, 21, 0.0003840923309326172, 0.0002887248992919922
0, 0, 22, 1.667006254196167, 0.0005545616149902344
0, 0, 23, 0.0004076957702636719, 0.0004811286926269531
0, 0, 24, 0.6137771606445312, 0.005704402923583984
0, 0, 25, 0.5843532085418701, 0.0002512931823730469
0, 0, 26, 4.38690185546875e-05, 0.00011134147644042969
0, 0, 27, 5.841255187988281e-05, 0.00010633468627929688
0, 0, 28, 5.2928924560546875e-05, 9.1552734375e-05
0, 0, 29, 4.696846008300781e-05, 0.0001068115234375
0, 0, 30, 2.7178027629852295, 0.00018477439880371094
0, 0, 31, 0.00011134147644042969, 0.00011610984802246094
0, 0, 32, 0.0002579689025878906, 0.0001735687255859375
0, 0, 33, 4.7206878662109375e-05, 0.00010418891906738281
0, 0, 34, 0.00013446807861328125, 0.00010132789611816406
0, 0, 35, 0.0001251697540283203, 0.00011515617370605469
0, 0, 36, 0.3376760482788086, 0.00019979476928710938
0, 0, 37, 4.601478576660156e-05, 0.00011539459228515625
