batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 0, 29, 1590992147.984, 1590992147.985, 1590992147.985, 1590992147.985, 1590992150.113, 1590992150.74, 1590992150.742, 1590992150.742, 1590992150.743, 1590992150.744
512, 0, 0, 30, 1590992148.443, 1590992148.444, 1590992148.445, 1590992148.445, 1590992151.081, 1590992151.46, 1590992151.46, 1590992151.46, 1590992151.461, 1590992151.462
512, 0, 0, 31, 1590992149.185, 1590992149.186, 1590992149.187, 1590992149.187, 1590992157.01, 1590992157.01, 1590992157.231, 1590992157.231, 1590992157.232, 1590992157.233
512, 0, 0, 32, 1590992149.826, 1590992149.827, 1590992149.828, 1590992149.828, 1590992157.24, 1590992157.891, 1590992157.891, 1590992157.892, 1590992157.892, 1590992157.893
512, 0, 0, 33, 1590992150.744, 1590992150.745, 1590992150.747, 1590992150.747, 1590992158.356, 1590992158.625, 1590992158.625, 1590992158.625, 1590992158.626, 1590992158.626
512, 0, 0, 34, 1590992151.462, 1590992156.998, 1590992157.005, 1590992157.006, 1590992158.952, 1590992159.321, 1590992159.321, 1590992159.321, 1590992159.322, 1590992159.322
512, 0, 0, 35, 1590992157.233, 1590992157.239, 1590992157.24, 1590992157.24, 1590992159.709, 1590992160.057, 1590992160.062, 1590992160.062, 1590992160.063, 1590992160.064
512, 0, 0, 36, 1590992157.893, 1590992157.893, 1590992157.894, 1590992157.894, 1590992160.395, 1590992160.729, 1590992160.73, 1590992160.73, 1590992160.731, 1590992160.732
512, 0, 0, 37, 1590992158.626, 1590992158.626, 1590992158.627, 1590992158.627, 1590992161.12, 1590992161.363, 1590992161.364, 1590992161.364, 1590992161.365, 1590992161.365
512, 0, 0, 38, 1590992159.323, 1590992159.323, 1590992159.324, 1590992159.324, 1590992161.708, 1590992162.258, 1590992162.259, 1590992162.259, 1590992162.26, 1590992162.261
512, 0, 0, 39, 1590992160.064, 1590992160.065, 1590992160.065, 1590992160.065, 1590992162.269, 1590992162.735, 1590992162.736, 1590992162.736, 1590992162.736, 1590992162.737
512, 0, 0, 40, 1590992160.732, 1590992160.734, 1590992160.735, 1590992160.735, 1590992162.739, 1590992163.625, 1590992163.625, 1590992163.625, 1590992163.626, 1590992163.627
512, 0, 0, 41, 1590992161.366, 1590992161.366, 1590992161.367, 1590992161.367, 1590992168.331, 1590992168.331, 1590992168.339, 1590992168.339, 1590992168.34, 1590992168.34
512, 0, 0, 42, 1590992162.261, 1590992162.268, 1590992162.268, 1590992162.268, 1590992168.683, 1590992169.543, 1590992169.544, 1590992169.544, 1590992169.545, 1590992169.545
512, 0, 0, 43, 1590992162.737, 1590992162.737, 1590992162.738, 1590992162.738, 1590992169.888, 1590992169.913, 1590992169.914, 1590992169.914, 1590992169.914, 1590992169.915
512, 0, 0, 44, 1590992163.627, 1590992168.124, 1590992168.126, 1590992168.126, 1590992170.115, 1590992170.615, 1590992170.616, 1590992170.616, 1590992170.617, 1590992170.617
512, 0, 0, 45, 1590992168.34, 1590992168.342, 1590992168.343, 1590992168.343, 1590992170.999, 1590992171.386, 1590992171.398, 1590992171.398, 1590992171.399, 1590992171.4
512, 0, 0, 46, 1590992169.545, 1590992169.546, 1590992169.547, 1590992169.547, 1590992171.808, 1590992172.353, 1590992172.354, 1590992172.354, 1590992172.355, 1590992172.355
512, 0, 0, 47, 1590992169.915, 1590992169.918, 1590992169.919, 1590992169.919, 1590992172.834, 1590992172.834, 1590992172.835, 1590992172.835, 1590992172.836, 1590992172.836
512, 0, 0, 48, 1590992170.617, 1590992170.618, 1590992170.618, 1590992170.626, 1590992173.201, 1590992173.502, 1590992173.503, 1590992173.503, 1590992173.503, 1590992173.504
512, 0, 0, 49, 1590992171.4, 1590992171.401, 1590992171.402, 1590992171.402, 1590992173.871, 1590992174.322, 1590992174.323, 1590992174.323, 1590992174.324, 1590992174.324
