batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 2, 2, 1590957031.629, 1590957031.63, 1590957031.634, 1590957031.634, 1590957031.94, 1590957031.94, 1590957032.427, 1590957032.427, 1590957032.427, 1590957032.429
512, 0, 2, 3, 1590957032.429, 1590957032.429, 1590957032.434, 1590957032.434, 1590957032.751, 1590957032.751, 1590957033.229, 1590957033.229, 1590957033.23, 1590957033.231
512, 0, 2, 4, 1590957033.231, 1590957033.231, 1590957033.236, 1590957033.236, 1590957033.556, 1590957033.556, 1590957034.059, 1590957034.059, 1590957034.059, 1590957034.06
512, 0, 2, 5, 1590957034.06, 1590957034.06, 1590957034.065, 1590957034.065, 1590957034.369, 1590957034.369, 1590957034.871, 1590957034.871, 1590957034.872, 1590957034.873
512, 0, 2, 6, 1590957034.873, 1590957034.873, 1590957034.878, 1590957034.878, 1590957035.177, 1590957035.177, 1590957035.664, 1590957035.664, 1590957035.664, 1590957035.665
512, 0, 2, 7, 1590957035.665, 1590957035.665, 1590957035.67, 1590957035.67, 1590957035.98, 1590957035.98, 1590957036.464, 1590957036.464, 1590957036.464, 1590957036.466
512, 0, 2, 8, 1590957036.466, 1590957036.466, 1590957036.47, 1590957036.47, 1590957036.774, 1590957036.774, 1590957037.276, 1590957037.276, 1590957037.276, 1590957037.278
512, 0, 2, 9, 1590957037.278, 1590957037.278, 1590957037.283, 1590957037.283, 1590957037.584, 1590957037.584, 1590957038.083, 1590957038.083, 1590957038.083, 1590957038.085
512, 0, 2, 10, 1590957038.085, 1590957038.085, 1590957038.089, 1590957038.089, 1590957038.393, 1590957038.393, 1590957038.882, 1590957038.882, 1590957038.882, 1590957038.884
512, 0, 2, 11, 1590957038.884, 1590957038.884, 1590957038.889, 1590957038.889, 1590957039.185, 1590957039.185, 1590957039.676, 1590957039.676, 1590957039.676, 1590957039.678
512, 0, 2, 12, 1590957039.678, 1590957039.678, 1590957039.684, 1590957039.684, 1590957039.993, 1590957039.993, 1590957040.49, 1590957040.49, 1590957040.49, 1590957040.491
512, 0, 2, 13, 1590957040.491, 1590957040.491, 1590957040.496, 1590957040.496, 1590957040.797, 1590957040.797, 1590957041.298, 1590957041.298, 1590957041.298, 1590957041.299
512, 0, 2, 14, 1590957041.299, 1590957041.299, 1590957041.303, 1590957041.303, 1590957041.604, 1590957041.604, 1590957042.092, 1590957042.092, 1590957042.093, 1590957042.094
512, 0, 2, 15, 1590957042.094, 1590957042.094, 1590957042.098, 1590957042.098, 1590957042.403, 1590957042.403, 1590957042.89, 1590957042.89, 1590957042.89, 1590957042.892
512, 0, 3, 0, 1590957001.153, 1590957017.161, 1590957022.918, 1590957022.918, 1590957022.947, 1590957022.947, 1590957030.793, 1590957030.793, 1590957030.793, 1590957030.794
512, 0, 3, 1, 1590957030.794, 1590957030.795, 1590957030.815, 1590957030.815, 1590957031.12, 1590957031.12, 1590957031.628, 1590957031.628, 1590957031.629, 1590957031.631
512, 0, 3, 2, 1590957031.631, 1590957031.631, 1590957031.637, 1590957031.637, 1590957031.955, 1590957031.955, 1590957032.427, 1590957032.427, 1590957032.427, 1590957032.429
512, 0, 3, 3, 1590957032.429, 1590957032.43, 1590957032.435, 1590957032.435, 1590957032.753, 1590957032.753, 1590957033.229, 1590957033.229, 1590957033.229, 1590957033.231
512, 0, 3, 4, 1590957033.231, 1590957033.231, 1590957033.236, 1590957033.236, 1590957033.576, 1590957033.577, 1590957034.059, 1590957034.059, 1590957034.059, 1590957034.06
512, 0, 3, 5, 1590957034.06, 1590957034.06, 1590957034.065, 1590957034.065, 1590957034.38, 1590957034.38, 1590957034.872, 1590957034.872, 1590957034.873, 1590957034.875
512, 0, 3, 6, 1590957034.875, 1590957034.876, 1590957034.884, 1590957034.884, 1590957035.195, 1590957035.195, 1590957035.664, 1590957035.664, 1590957035.664, 1590957035.665
512, 0, 3, 7, 1590957035.665, 1590957035.666, 1590957035.67, 1590957035.67, 1590957035.994, 1590957035.994, 1590957036.464, 1590957036.464, 1590957036.464, 1590957036.466
512, 0, 3, 8, 1590957036.466, 1590957036.466, 1590957036.47, 1590957036.47, 1590957036.789, 1590957036.789, 1590957037.276, 1590957037.276, 1590957037.276, 1590957037.278
512, 0, 3, 9, 1590957037.278, 1590957037.278, 1590957037.283, 1590957037.283, 1590957037.598, 1590957037.598, 1590957038.083, 1590957038.083, 1590957038.083, 1590957038.085
512, 0, 3, 10, 1590957038.085, 1590957038.085, 1590957038.09, 1590957038.09, 1590957038.409, 1590957038.409, 1590957038.882, 1590957038.882, 1590957038.882, 1590957038.883
512, 0, 3, 11, 1590957038.883, 1590957038.883, 1590957038.888, 1590957038.888, 1590957039.209, 1590957039.209, 1590957039.676, 1590957039.676, 1590957039.676, 1590957039.677
512, 0, 3, 12, 1590957039.677, 1590957039.678, 1590957039.682, 1590957039.682, 1590957040.003, 1590957040.003, 1590957040.49, 1590957040.49, 1590957040.49, 1590957040.491
512, 0, 3, 13, 1590957040.491, 1590957040.491, 1590957040.496, 1590957040.496, 1590957040.813, 1590957040.813, 1590957041.298, 1590957041.298, 1590957041.298, 1590957041.299
512, 0, 3, 14, 1590957041.299, 1590957041.3, 1590957041.304, 1590957041.304, 1590957041.61, 1590957041.61, 1590957042.092, 1590957042.092, 1590957042.092, 1590957042.094
512, 0, 3, 15, 1590957042.094, 1590957042.094, 1590957042.098, 1590957042.098, 1590957042.416, 1590957042.416, 1590957042.89, 1590957042.89, 1590957042.89, 1590957042.892
512, 1, 0, 0, 1590957043.617, 1590957057.168, 1590957057.181, 1590957057.181, 1590957057.759, 1590957057.759, 1590957059.599, 1590957059.599, 1590957059.6, 1590957059.601
512, 1, 0, 1, 1590957059.601, 1590957059.602, 1590957059.607, 1590957059.607, 1590957059.968, 1590957059.968, 1590957060.48, 1590957060.48, 1590957060.48, 1590957060.482
512, 1, 0, 2, 1590957060.482, 1590957060.483, 1590957060.488, 1590957060.488, 1590957060.837, 1590957060.837, 1590957061.311, 1590957061.311, 1590957061.311, 1590957061.312
512, 1, 0, 3, 1590957061.312, 1590957061.313, 1590957061.318, 1590957061.318, 1590957061.659, 1590957061.659, 1590957062.166, 1590957062.166, 1590957062.166, 1590957062.167
512, 1, 0, 4, 1590957062.167, 1590957062.167, 1590957062.172, 1590957062.172, 1590957062.515, 1590957062.515, 1590957062.993, 1590957062.993, 1590957062.994, 1590957062.996
512, 1, 0, 5, 1590957062.996, 1590957062.996, 1590957063.001, 1590957063.001, 1590957063.339, 1590957063.339, 1590957063.859, 1590957063.859, 1590957063.859, 1590957063.861
512, 1, 0, 6, 1590957063.861, 1590957063.861, 1590957063.868, 1590957063.868, 1590957064.223, 1590957064.223, 1590957064.696, 1590957064.696, 1590957064.696, 1590957064.698
512, 1, 0, 7, 1590957064.698, 1590957064.698, 1590957064.704, 1590957064.704, 1590957065.039, 1590957065.039, 1590957065.534, 1590957065.534, 1590957065.534, 1590957065.536
512, 1, 0, 8, 1590957065.536, 1590957065.536, 1590957065.541, 1590957065.541, 1590957065.882, 1590957065.882, 1590957067.357, 1590957067.357, 1590957067.357, 1590957067.36
512, 1, 0, 9, 1590957067.36, 1590957067.36, 1590957067.367, 1590957067.367, 1590957067.711, 1590957067.711, 1590957068.525, 1590957068.525, 1590957068.525, 1590957068.527
512, 1, 0, 10, 1590957068.527, 1590957068.746, 1590957068.755, 1590957068.755, 1590957069.029, 1590957069.029, 1590957069.533, 1590957069.533, 1590957069.533, 1590957069.536
512, 1, 0, 11, 1590957069.536, 1590957069.536, 1590957069.553, 1590957069.553, 1590957069.876, 1590957069.876, 1590957070.37, 1590957070.37, 1590957070.371, 1590957070.374
512, 1, 0, 12, 1590957070.374, 1590957070.374, 1590957070.381, 1590957070.381, 1590957070.689, 1590957070.689, 1590957071.195, 1590957071.195, 1590957071.195, 1590957071.197
512, 1, 0, 13, 1590957071.197, 1590957071.197, 1590957071.201, 1590957071.201, 1590957071.508, 1590957071.508, 1590957072.002, 1590957072.002, 1590957072.002, 1590957072.003
512, 1, 0, 14, 1590957072.003, 1590957072.004, 1590957072.008, 1590957072.008, 1590957072.317, 1590957072.317, 1590957072.797, 1590957072.797, 1590957072.798, 1590957072.799
512, 1, 0, 15, 1590957072.799, 1590957072.799, 1590957072.804, 1590957072.804, 1590957073.111, 1590957073.111, 1590957073.601, 1590957073.601, 1590957073.601, 1590957073.603
512, 1, 1, 0, 1590957043.602, 1590957058.735, 1590957058.766, 1590957058.766, 1590957059.095, 1590957059.095, 1590957059.599, 1590957059.599, 1590957059.599, 1590957059.602
512, 1, 1, 1, 1590957059.602, 1590957059.602, 1590957059.609, 1590957059.609, 1590957059.967, 1590957059.967, 1590957060.479, 1590957060.479, 1590957060.479, 1590957060.48
512, 1, 1, 2, 1590957060.48, 1590957060.48, 1590957060.485, 1590957060.485, 1590957060.834, 1590957060.834, 1590957061.311, 1590957061.311, 1590957061.311, 1590957061.312
512, 1, 1, 3, 1590957061.312, 1590957061.312, 1590957061.319, 1590957061.319, 1590957061.677, 1590957061.677, 1590957062.163, 1590957062.163, 1590957062.163, 1590957062.164
512, 1, 1, 4, 1590957062.164, 1590957062.164, 1590957062.169, 1590957062.169, 1590957062.524, 1590957062.524, 1590957062.993, 1590957062.993, 1590957062.994, 1590957062.996
512, 1, 1, 5, 1590957062.996, 1590957062.996, 1590957063.002, 1590957063.002, 1590957063.349, 1590957063.349, 1590957063.859, 1590957063.859, 1590957063.859, 1590957063.861
512, 1, 1, 6, 1590957063.861, 1590957063.861, 1590957063.865, 1590957063.865, 1590957064.22, 1590957064.22, 1590957064.696, 1590957064.696, 1590957064.696, 1590957064.697
512, 1, 1, 7, 1590957064.697, 1590957064.697, 1590957064.702, 1590957064.702, 1590957065.053, 1590957065.053, 1590957065.534, 1590957065.534, 1590957065.534, 1590957065.536
512, 1, 1, 8, 1590957065.536, 1590957065.537, 1590957065.543, 1590957065.543, 1590957065.91, 1590957065.91, 1590957067.536, 1590957067.536, 1590957067.537, 1590957067.539
512, 1, 1, 9, 1590957067.539, 1590957067.539, 1590957067.545, 1590957067.545, 1590957067.856, 1590957067.856, 1590957068.525, 1590957068.525, 1590957068.525, 1590957068.526
512, 1, 1, 10, 1590957068.526, 1590957068.527, 1590957068.532, 1590957068.532, 1590957068.866, 1590957068.866, 1590957069.56, 1590957069.56, 1590957069.56, 1590957069.563
512, 1, 1, 11, 1590957069.563, 1590957069.563, 1590957069.572, 1590957069.572, 1590957069.888, 1590957069.888, 1590957070.37, 1590957070.37, 1590957070.37, 1590957070.373
512, 1, 1, 12, 1590957070.374, 1590957070.374, 1590957070.38, 1590957070.38, 1590957070.712, 1590957070.712, 1590957071.195, 1590957071.195, 1590957071.195, 1590957071.196
512, 1, 1, 13, 1590957071.196, 1590957071.197, 1590957071.201, 1590957071.201, 1590957071.517, 1590957071.517, 1590957072.002, 1590957072.002, 1590957072.002, 1590957072.004
512, 1, 1, 14, 1590957072.004, 1590957072.004, 1590957072.008, 1590957072.008, 1590957072.325, 1590957072.325, 1590957072.797, 1590957072.797, 1590957072.797, 1590957072.798
512, 1, 1, 15, 1590957072.798, 1590957072.799, 1590957072.803, 1590957072.803, 1590957073.125, 1590957073.125, 1590957073.601, 1590957073.601, 1590957073.601, 1590957073.602
512, 1, 2, 0, 1590957043.561, 1590957057.661, 1590957057.676, 1590957057.676, 1590957058.287, 1590957058.287, 1590957059.599, 1590957059.599, 1590957059.599, 1590957059.601
512, 1, 2, 1, 1590957059.601, 1590957059.601, 1590957059.606, 1590957059.606, 1590957059.966, 1590957059.966, 1590957060.48, 1590957060.48, 1590957060.48, 1590957060.482
512, 1, 2, 2, 1590957060.482, 1590957060.482, 1590957060.488, 1590957060.488, 1590957060.839, 1590957060.839, 1590957061.311, 1590957061.311, 1590957061.311, 1590957061.312
512, 1, 2, 3, 1590957061.312, 1590957061.313, 1590957061.318, 1590957061.318, 1590957061.664, 1590957061.664, 1590957062.166, 1590957062.166, 1590957062.166, 1590957062.168
512, 1, 2, 4, 1590957062.168, 1590957062.168, 1590957062.174, 1590957062.174, 1590957062.52, 1590957062.52, 1590957062.994, 1590957062.994, 1590957062.994, 1590957062.997
512, 1, 2, 5, 1590957062.997, 1590957062.997, 1590957063.005, 1590957063.005, 1590957063.336, 1590957063.336, 1590957063.859, 1590957063.859, 1590957063.859, 1590957063.861
512, 1, 2, 6, 1590957063.861, 1590957063.862, 1590957063.868, 1590957063.868, 1590957064.215, 1590957064.215, 1590957064.696, 1590957064.696, 1590957064.696, 1590957064.698
512, 1, 2, 7, 1590957064.698, 1590957064.698, 1590957064.704, 1590957064.704, 1590957065.034, 1590957065.034, 1590957065.534, 1590957065.534, 1590957065.534, 1590957065.536
512, 1, 2, 8, 1590957065.536, 1590957065.536, 1590957065.543, 1590957065.543, 1590957065.868, 1590957065.868, 1590957067.533, 1590957067.533, 1590957067.533, 1590957067.536
512, 1, 2, 9, 1590957067.536, 1590957067.537, 1590957067.545, 1590957067.545, 1590957067.85, 1590957067.85, 1590957068.525, 1590957068.525, 1590957068.525, 1590957068.526
512, 1, 2, 10, 1590957068.526, 1590957068.527, 1590957068.531, 1590957068.531, 1590957068.882, 1590957068.882, 1590957069.532, 1590957069.532, 1590957069.532, 1590957069.535
512, 1, 2, 11, 1590957069.535, 1590957069.535, 1590957069.543, 1590957069.543, 1590957069.865, 1590957069.865, 1590957070.37, 1590957070.37, 1590957070.37, 1590957070.372
512, 1, 2, 12, 1590957070.372, 1590957070.372, 1590957070.376, 1590957070.376, 1590957070.688, 1590957070.688, 1590957071.195, 1590957071.195, 1590957071.195, 1590957071.196
512, 1, 2, 13, 1590957071.196, 1590957071.197, 1590957071.2, 1590957071.2, 1590957071.512, 1590957071.512, 1590957072.002, 1590957072.002, 1590957072.002, 1590957072.004
512, 1, 2, 14, 1590957072.004, 1590957072.005, 1590957072.011, 1590957072.011, 1590957072.312, 1590957072.312, 1590957072.797, 1590957072.797, 1590957072.797, 1590957072.798
512, 1, 2, 15, 1590957072.798, 1590957072.799, 1590957072.803, 1590957072.803, 1590957073.102, 1590957073.102, 1590957073.601, 1590957073.601, 1590957073.601, 1590957073.602
512, 1, 3, 0, 1590957043.606, 1590957054.899, 1590957054.932, 1590957054.932, 1590957055.273, 1590957055.273, 1590957059.6, 1590957059.6, 1590957059.6, 1590957059.602
512, 1, 3, 1, 1590957059.602, 1590957059.602, 1590957059.608, 1590957059.608, 1590957059.978, 1590957059.978, 1590957060.48, 1590957060.48, 1590957060.48, 1590957060.482
512, 1, 3, 2, 1590957060.482, 1590957060.482, 1590957060.486, 1590957060.486, 1590957060.837, 1590957060.837, 1590957061.311, 1590957061.311, 1590957061.311, 1590957061.313
512, 1, 3, 3, 1590957061.313, 1590957061.313, 1590957061.318, 1590957061.318, 1590957061.672, 1590957061.672, 1590957062.166, 1590957062.166, 1590957062.166, 1590957062.168
