epoch,rank, batch,next,cuda
0, 0, 0, 0.8265113830566406, 0.03915286064147949
0, 0, 1, 0.00030350685119628906, 0.013124227523803711
0, 0, 2, 8.916854858398438e-05, 0.013081073760986328
0, 0, 3, 0.00016999244689941406, 0.018639326095581055
0, 0, 4, 0.00015616416931152344, 0.0002396106719970703
0, 0, 5, 0.00011730194091796875, 9.250640869140625e-05
0, 0, 6, 0.00015091896057128906, 0.0006184577941894531
0, 0, 7, 0.0001327991485595703, 9.942054748535156e-05
0, 0, 8, 0.00015044212341308594, 0.0002181529998779297
0, 0, 9, 0.0001666545867919922, 0.00029587745666503906
0, 0, 10, 0.0002288818359375, 0.0002377033233642578
0, 0, 11, 0.00031948089599609375, 0.00010585784912109375
0, 0, 12, 0.0001227855682373047, 0.00019669532775878906
0, 0, 13, 0.00011587142944335938, 0.00010919570922851562
0, 0, 14, 0.00013494491577148438, 0.00021195411682128906
0, 0, 15, 0.00011610984802246094, 8.344650268554688e-05
0, 0, 16, 0.0001239776611328125, 0.00020742416381835938
0, 0, 17, 0.00012540817260742188, 0.0002079010009765625
0, 0, 18, 0.00012230873107910156, 0.00019621849060058594
0, 0, 19, 0.0001652240753173828, 0.00025534629821777344
0, 0, 20, 0.00017070770263671875, 0.00025582313537597656
0, 0, 21, 0.0002002716064453125, 0.00026226043701171875
0, 0, 22, 0.00012564659118652344, 0.0001971721649169922
0, 0, 23, 0.00012183189392089844, 8.130073547363281e-05
0, 0, 24, 0.9181077480316162, 0.00031280517578125
0, 0, 25, 0.00018143653869628906, 0.00011754035949707031
0, 0, 26, 0.00013303756713867188, 0.00022339820861816406
0, 0, 27, 0.00013589859008789062, 0.00020742416381835938
0, 0, 28, 0.0001964569091796875, 0.00023984909057617188
0, 0, 29, 0.0001659393310546875, 0.0002338886260986328
0, 0, 30, 0.0001404285430908203, 0.0012707710266113281
0, 0, 31, 0.0002739429473876953, 0.0002353191375732422
0, 0, 32, 0.0001327991485595703, 0.00022530555725097656
0, 0, 33, 0.0001456737518310547, 0.0002791881561279297
0, 0, 34, 1.3018279075622559, 0.0005655288696289062
