batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
256, 0, 0, 0, 1590955781.125, 1590955784.173, 1590955786.657, 1590955786.657, 1590955786.836, 1590955794.437, 1590955794.634, 1590955794.634, 1590955794.71, 1590955794.711
256, 0, 0, 1, 1590955786.658, 1590955786.694, 1590955786.715, 1590955786.715, 1590955794.827, 1590955794.827, 1590955794.832, 1590955794.832, 1590955794.832, 1590955794.833
256, 0, 0, 2, 1590955786.715, 1590955786.76, 1590955786.827, 1590955786.827, 1590955794.834, 1590955795.201, 1590955795.201, 1590955795.201, 1590955795.202, 1590955795.202
256, 0, 0, 3, 1590955786.828, 1590955786.829, 1590955786.835, 1590955786.835, 1590955795.38, 1590955795.644, 1590955795.644, 1590955795.644, 1590955795.645, 1590955795.645
256, 0, 0, 4, 1590955794.711, 1590955794.712, 1590955794.728, 1590955794.728, 1590955795.647, 1590955796.113, 1590955796.114, 1590955796.114, 1590955796.114, 1590955796.115
256, 0, 0, 5, 1590955794.833, 1590955794.834, 1590955794.834, 1590955794.834, 1590955796.117, 1590955796.325, 1590955796.326, 1590955796.326, 1590955796.327, 1590955796.327
256, 0, 0, 6, 1590955795.202, 1590955795.203, 1590955795.203, 1590955795.203, 1590955796.332, 1590955796.768, 1590955796.778, 1590955796.778, 1590955796.778, 1590955796.779
256, 0, 0, 7, 1590955795.645, 1590955795.646, 1590955795.646, 1590955795.646, 1590955796.955, 1590955797.259, 1590955797.26, 1590955797.26, 1590955797.26, 1590955797.261
256, 0, 0, 8, 1590955796.115, 1590955796.116, 1590955796.116, 1590955796.116, 1590955797.417, 1590955797.8, 1590955797.801, 1590955797.801, 1590955797.801, 1590955797.802
256, 0, 0, 9, 1590955796.327, 1590955796.331, 1590955796.332, 1590955796.332, 1590955798.038, 1590955798.063, 1590955798.063, 1590955798.063, 1590955798.064, 1590955798.065
256, 0, 0, 10, 1590955796.779, 1590955796.779, 1590955796.78, 1590955796.78, 1590955798.272, 1590955798.375, 1590955798.376, 1590955798.376, 1590955798.377, 1590955798.377
256, 0, 0, 11, 1590955797.261, 1590955797.262, 1590955797.262, 1590955797.262, 1590955798.506, 1590955798.909, 1590955798.911, 1590955798.911, 1590955798.911, 1590955798.912
256, 0, 0, 12, 1590955797.802, 1590955797.802, 1590955797.803, 1590955797.803, 1590955799.096, 1590955799.416, 1590955799.416, 1590955799.416, 1590955799.417, 1590955799.417
