batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 0, 0, 1591110425.62, 1591110431.965, 1591110436.213, 1591110436.213, 1591110436.841, 1591110448.516, 1591110448.876, 1591110448.876, 1591110448.878, 1591110448.88
512, 0, 0, 1, 1591110436.213, 1591110436.293, 1591110436.326, 1591110436.326, 1591110449.25, 1591110449.25, 1591110449.262, 1591110449.262, 1591110449.262, 1591110449.263
512, 0, 0, 2, 1591110436.326, 1591110436.535, 1591110436.547, 1591110436.547, 1591110449.265, 1591110449.904, 1591110449.905, 1591110449.905, 1591110449.906, 1591110449.906
512, 0, 0, 3, 1591110436.547, 1591110436.758, 1591110436.764, 1591110436.764, 1591110450.233, 1591110450.653, 1591110450.664, 1591110450.664, 1591110450.664, 1591110450.665
512, 0, 0, 4, 1591110448.88, 1591110448.883, 1591110449.051, 1591110449.051, 1591110450.981, 1591110451.361, 1591110451.362, 1591110451.362, 1591110451.362, 1591110451.363
512, 0, 0, 5, 1591110449.263, 1591110449.264, 1591110449.265, 1591110449.265, 1591110451.698, 1591110452.048, 1591110452.049, 1591110452.049, 1591110452.05, 1591110452.05
512, 0, 0, 6, 1591110449.906, 1591110449.907, 1591110449.908, 1591110449.908, 1591110452.052, 1591110452.752, 1591110452.752, 1591110452.752, 1591110452.753, 1591110452.753
512, 0, 0, 7, 1591110450.665, 1591110450.666, 1591110450.666, 1591110450.666, 1591110453.129, 1591110453.383, 1591110453.384, 1591110453.384, 1591110453.384, 1591110453.385
512, 0, 0, 8, 1591110451.363, 1591110451.364, 1591110451.364, 1591110451.364, 1591110453.75, 1591110454.08, 1591110454.081, 1591110454.081, 1591110454.081, 1591110454.082
512, 0, 0, 9, 1591110452.05, 1591110452.051, 1591110452.052, 1591110452.052, 1591110454.404, 1591110454.838, 1591110454.84, 1591110454.84, 1591110454.842, 1591110454.843
512, 0, 0, 10, 1591110452.753, 1591110452.754, 1591110452.755, 1591110452.755, 1591110454.847, 1591110455.368, 1591110455.37, 1591110455.37, 1591110455.37, 1591110455.372
512, 0, 0, 11, 1591110453.385, 1591110453.385, 1591110453.386, 1591110453.386, 1591110455.375, 1591110456.281, 1591110456.281, 1591110456.281, 1591110456.282, 1591110456.283
512, 0, 0, 12, 1591110454.082, 1591110454.083, 1591110454.083, 1591110454.084, 1591110456.583, 1591110456.771, 1591110456.772, 1591110456.772, 1591110456.773, 1591110456.773
512, 0, 0, 13, 1591110454.843, 1591110454.844, 1591110454.845, 1591110454.845, 1591110456.99, 1591110457.861, 1591110457.862, 1591110457.862, 1591110457.863, 1591110457.864
512, 0, 0, 14, 1591110455.372, 1591110455.373, 1591110455.374, 1591110455.374, 1591110458.175, 1591110458.484, 1591110458.485, 1591110458.485, 1591110458.485, 1591110458.486
512, 0, 0, 15, 1591110456.283, 1591110456.284, 1591110456.284, 1591110456.284, 1591110458.801, 1591110458.958, 1591110458.958, 1591110458.958, 1591110458.959, 1591110458.959
512, 0, 0, 16, 1591110456.773, 1591110456.774, 1591110456.775, 1591110456.775, 1591110459.408, 1591110460.243, 1591110460.244, 1591110460.244, 1591110460.244, 1591110460.245
512, 0, 0, 17, 1591110457.864, 1591110457.867, 1591110457.868, 1591110457.868, 1591110460.558, 1591110460.618, 1591110460.618, 1591110460.618, 1591110460.619, 1591110460.62
512, 0, 0, 18, 1591110458.486, 1591110458.487, 1591110458.488, 1591110458.488, 1591110460.622, 1591110461.385, 1591110461.386, 1591110461.386, 1591110461.387, 1591110461.388
512, 0, 0, 19, 1591110458.959, 1591110458.96, 1591110458.961, 1591110458.961, 1591110461.819, 1591110462.092, 1591110462.093, 1591110462.093, 1591110462.093, 1591110462.094
512, 0, 0, 20, 1591110460.245, 1591110460.246, 1591110460.246, 1591110460.246, 1591110462.427, 1591110462.567, 1591110462.568, 1591110462.568, 1591110462.569, 1591110462.569
512, 0, 0, 21, 1591110460.62, 1591110460.62, 1591110460.621, 1591110460.621, 1591110464.86, 1591110464.86, 1591110465.076, 1591110465.076, 1591110465.076, 1591110465.077
512, 0, 0, 22, 1591110461.388, 1591110461.389, 1591110461.39, 1591110461.39, 1591110466.182, 1591110466.182, 1591110466.183, 1591110466.183, 1591110466.183, 1591110466.184
